Wahlkreisnummer,% SPD,% CDU,% Grüne,% FDP,% AfD,% Linke
174,"16,306378069549%","30,5409822556721%","8,80349392957205%","4,65376586276987%","24,837252101302%","5,73806515409548%"
175,"16,6455729578653%","33,5745926277488%","13,0609608184359%","6,56739439962031%","16,3838791330486%","6,16529557559458%"
176,"17,5896335268749%","30,7495643632302%","13,2447033969576%","5,35749127044465%","17,3770293272692%","7,13031426399252%"
177,"16,9838857130269%","33,4275077377215%","12,1942085494939%","5,60475387987532%","17,5924396127284%","6,30748218396502%"
178,"17,4658813779236%","26,6216959791314%","15,9598388663583%","5,59348400551604%","14,0869659730855%","11,5089635683086%"
179,"18,3114829004253%","28,736424027275%","10,8839759586658%","4,93761203472637%","19,2661066394854%","8,55435661312432%"
180,"15,6733574760544%","35,1240195810813%","14,4892722607414%","7,39446658538213%","13,2784966000012%","6,6113446525086%"
181,"17,0982631334029%","23,5086969098615%","18,0459307517199%","6,62864257775654%","10,7481983624907%","15,3915810391015%"
182,"17,1975023612131%","24,9165704690943%","20,7277783607934%","6,57571623465211%","9,33938503515584%","13,5287018574877%"
183,"20,0661268459216%","27,1844451297793%","11,3548831304822%","4,49404356339069%","16,9304807464731%","9,95201859010679%"
184,"17,4476622167747%","27,7365679364951%","13,0929736417615%","5,41156201037216%","15,1662494290686%","11,5013037470442%"
185,"18,5234021037604%","24,1501184728405%","19,0820585523511%","4,79046665410888%","13,6035571594278%","11,1736246740758%"
186,"18,1335914210003%","30,7101896323286%","11,2604546207353%","4,93696174229878%","18,7556931103014%","7,11069476647897%"
187,"17,378046917488%","31,2235332938179%","11,2099676747185%","5,1787667507898%","20,1486107461702%","6,09230731626836%"
906,"18,3618855493031%","28,8717650991362%","12,6103083985598%","5,04933980418226%","17,7820168372762%","8,6869722643196%"
188,"8,55864334331113%","23,3419753611133%","2,68671940934675%","2,96115944844838%","38,946198823308%","13,2933411860424%"
189,"9,34128944450045%","19,6705817118661%","2,9822814799879%","2,55318076418994%","40,3638219578587%","13,0815858453473%"
190,"9,04354878961817%","17,3427751434989%","7,58485150985775%","3,07087596705765%","32,4550786124283%","18,6667082605441%"
191,"8,82559272048657%","17,6518665331726%","3,50353827397615%","2,66034613105576%","40,5610837539078%","14,9622334375404%"
192,"10,5283627503689%","17,5661454341634%","8,75762116653893%","2,87917090859176%","26,8802690429073%","22,1153956143261%"
193,"7,90308824979839%","17,7712154000569%","2,85676160196794%","2,98033800757703%","43,3741580269547%","13,0248371170147%"
194,"7,52741483901073%","17,9398040130658%","2,94855342977135%","2,80622958469435%","42,9188054129725%","13,4624358376108%"
195,"8,34709657509587%","17,4851271266352%","2,47681203316894%","2,59853814370539%","43,0927575821651%","12,5452186783859%"
916,"8,75402338434026%","18,583617670115%","4,23552299087555%","2,81587815130493%","38,5549347724626%","15,1563965580523%"
196,"18,476954945624%","32,261522527188%","8,11703780424651%","4,39564992232004%","21,748316934231%","6,0559295701709%"
197,"17,914915337547%","34,8411042983446%","9,90931948654286%","4,76592580456112%","18,3226310582334%","5,71495188702431%"
198,"19,5113293880001%","31,4667217378397%","11,6333550606321%","4,77893011339069%","16,4032500596963%","7,67984717749482%"
199,"17,8024670377137%","34,9159479401226%","7,73109005679002%","5,32565747546416%","19,6293778589738%","5,24776592882129%"
200,"20,2776192669696%","30,3016136018315%","7,95456889261676%","4,41729517156981%","22,3112938377873%","5,90095633581069%"
201,"16,9398416333618%","36,5949675932163%","7,5366353825198%","4,52123280494559%","17,9142904186687%","4,9560674779589%"
202,"19,9805036972429%","30,7105247968601%","12,2012223668768%","4,65987288923663%","15,457874518204%","7,65999474112886%"
203,"18,1312961913464%","32,4793837684043%","8,46508830571009%","4,60265321937058%","21,0430136130741%","5,96511722048091%"
204,"18,523416908199%","26,5211844931574%","20,7042425265686%","5,11860877395391%","10,8070461772237%","11,0664002776449%"
205,"19,0947265956604%","28,8169645383649%","10,6792380219357%","4,66332386331481%","21,9261112180104%","6,34925126487%"
206,"19,4331382761564%","27,5129591369648%","8,89324640298895%","4,38878648043449%","23,4266556148013%","6,82164021229479%"
207,"18,1368485049467%","30,3697562593268%","11,7885370032609%","4,86154866522965%","20,3841264577461%","5,56624108771348%"
208,"20,5468270632673%","24,898813913298%","8,2322410677595%","3,92528835923735%","25,8676108825003%","6,06272130058601%"
209,"17,4137880944772%","30,255512623108%","5,91063594898463%","4,11522035966416%","27,0808518055838%","4,78922750646408%"
210,"17,1942635389776%","30,8438376722646%","11,0876540651932%","4,30290574934062%","21,2048584084177%","6,11948907194096%"
907,"18,6426899011075%","30,6384180426799%","10,3505147661919%","4,59398007970053%","20,091633055257%","6,5159135186352%"
211,"8,37352645460242%","39,6294461363603%","7,80523700584318%","3,56055196934151%","24,1792588922727%","4,52591545601585%"
212,"10,0897951708626%","40,0673034550252%","13,0085674551167%","5,0540545180878%","16,5105218879306%","5,05004836005059%"
213,"9,89776451597124%","38,4645110795871%","11,6220711245903%","4,35259012865039%","19,0681406838527%","5,20765054052732%"
214,"11,6312042474459%","39,6830504384201%","13,966092832435%","5,03529482744751%","14,9917544847559%","5,33193226610892%"
215,"10,142731349702%","40,2632441177073%","9,22736673970471%","3,76282431961993%","21,4250609219176%","4,73962279606004%"
216,"15,4303792001382%","28,8794592726959%","22,8259695948864%","6,69106849788374%","9,54910598600674%","9,06160922518787%"
217,"15,1466029354869%","31,0846217512035%","22,0161515443874%","6,26619194773521%","9,63411707665862%","8,39067343810452%"
218,"15,5075890558118%","28,7088360863619%","24,0784322411664%","5,56290803980309%","9,2879411259822%","9,32836440757743%"
219,"15,3478221592503%","28,7562463449076%","25,0505175373117%","5,9570279997908%","8,9457643719422%","8,87111728151462%"
220,"12,993129945927%","39,0476515531978%","17,2287693875461%","6,32932377019206%","11,7356516312112%","5,02747534045531%"
221,"9,58882291163749%","37,5927649556271%","12,452279865214%","4,65977472612251%","19,5957413979324%","5,04203353723788%"
222,"9,072971329156%","41,8895599654875%","12,4358194599641%","5,30912742754494%","17,1713885627802%","4,04319721636798%"
223,"11,5058013786931%","38,6785215807026%","16,8085491758739%","5,83973491588267%","13,4678287181563%","5,17223009471856%"
224,"9,83874343114914%","38,8486490257173%","10,2758917360368%","3,42452215969865%","20,1245175091848%","4,36857647770079%"
225,"9,68973047646291%","41,642537693526%","11,9293643207491%","4,71648747270228%","16,9123751979739%","4,79323504992081%"
226,"8,06885740483303%","38,4897512496673%","5,06965600875507%","3,16705610932%","29,2318613386968%","3,09015350942057%"
